Date,Open,High,Low,Close
2-January-1991,1.00,,,131.09,
3-January-1991,,,,131.00,
7-January-1991,,,,131.79,
9-January-1991,,,,132.54,
11-January-1991,,,,135.23,
14-January-1991,,,,134.77,
23-January-1991,,,,133.33,
24-January-1991,,,,130.90,
25-January-1991,,,,128.61,
31-January-1991,,,,130.32,
1-February-1991,,,,134.60,
4-February-1991,,,,138.51,
5-February-1991,,,,141.17,
6-February-1991,,,,141.02,
7-February-1991,,,,138.20,
8-February-1991,,,,137.54,
11-February-1991,,,,136.18,
13-February-1991,,,,135.02,
14-February-1991,,,,136.85,
15-February-1991,,,,138.82,
19-February-1991,,,,150.38,
20-February-1991,,,,154.27,
21-February-1991,,,,156.42,
22-February-1991,,,,158.12,
25-February-1991,,,,158.12,
26-February-1991,,,,161.72,
27-February-1991,,,,162.69,
4-March-1991,,,,164.44,
5-March-1991,,,,165.90,
7-March-1991,,,,156.09,
8-March-1991,,,,159.91,
11-March-1991,,,,158.17,
12-March-1991,,,,157.87,
13-March-1991,,,,156.09,
14-March-1991,,,,156.09,
15-March-1991,,,,162.14,
18-March-1991,,,,158.87,
20-March-1991,,,,159.27,
21-March-1991,,,,157.84,
22-March-1991,,,,158.59,
25-March-1991,,,,157.16,
26-March-1991,,,,158.25,
27-March-1991,,,,158.60,
1-April-1991,,,,161.32,
2-April-1991,,,,163.03,
3-April-1991,,,,162.84,
4-April-1991,,,,162.32,
5-April-1991,,,,164.07,
8-April-1991,,,,166.59,
9-April-1991,,,,166.70,
11-April-1991,,,,167.91,
12-April-1991,,,,170.23,
15-April-1991,,,,171.67,
16-April-1991,,,,169.35,
18-April-1991,,,,168.62,
19-April-1991,,,,170.82,
22-April-1991,,,,171.66,
23-April-1991,,,,170.82,
24-April-1991,,,,170.28,
25-April-1991,,,,172.28,
26-April-1991,,,,170.98,
29-April-1991,,,,169.04,
30-April-1991,,,,166.00,
3-May-1991,,,,168.94,
6-May-1991,,,,166.43,
7-May-1991,,,,165.48,
8-May-1991,,,,166.67,
9-May-1991,,,,165.92,
10-May-1991,,,,168.37,
13-May-1991,,,,169.08,
14-May-1991,,,,169.18,
16-May-1991,,,,169.15,
17-May-1991,,,,167.50,
20-May-1991,,,,166.46,
21-May-1991,,,,170.45,
23-May-1991,,,,169.69,
27-May-1991,,,,170.20,
29-May-1991,,,,170.89,
30-May-1991,,,,171.62,
31-May-1991,,,,169.70,
3-June-1991,,,,167.81,
4-June-1991,,,,167.67,
5-June-1991,,,,167.02,
6-June-1991,,,,165.74,
7-June-1991,,,,162.34,
11-June-1991,,,,163.44,
12-June-1991,,,,166.04,
13-June-1991,,,,165.34,
14-June-1991,,,,167.63,
17-June-1991,,,,167.95,
18-June-1991,,,,169.82,
19-June-1991,,,,167.64,
20-June-1991,,,,170.65,
21-June-1991,,,,173.84,
24-June-1991,,,,167.96,
25-June-1991,,,,167.00,
26-June-1991,,,,165.32,
27-June-1991,,,,166.75,
28-June-1991,,,,166.06,
1-July-1991,,,,166.76,
2-July-1991,,,,167.34,
3-July-1991,,,,169.90,
4-July-1991,,,,169.81,
5-July-1991,,,,177.62,
8-July-1991,,,,179.33,
9-July-1991,,,,180.65,
10-July-1991,,,,184.07,
11-July-1991,,,,188.90,
12-July-1991,,,,191.66,
15-July-1991,,,,186.83,
16-July-1991,,,,186.43,
17-July-1991,,,,188.66,
19-July-1991,,,,189.53,
22-July-1991,,,,185.77,
24-July-1991,,,,190.76,
25-July-1991,,,,199.94,
26-July-1991,,,,204.97,
29-July-1991,,,,209.96,
30-July-1991,,,,209.59,
31-July-1991,,,,209.50,
1-August-1991,,,,211.33,
2-August-1991,,,,213.33,
5-August-1991,,,,212.77,
7-August-1991,,,,209.16,
