Date,Open,High,Low,Close
1-February-1999,,,,1000.00,
2-February-1999,,,,988.75,
3-February-1999,,,,999.94,
4-February-1999,,,,987.86,
5-February-1999,,,,977.38,
8-February-1999,,,,948.95,
9-February-1999,,,,954.52,
10-February-1999,,,,976.65,
11-February-1999,,,,982.46,
12-February-1999,,,,989.39,
15-February-1999,,,,986.25,
16-February-1999,,,,999.51,
17-February-1999,,,,1004.48,
18-February-1999,,,,1007.06,
19-February-1999,,,,1002.09,
22-February-1999,,,,987.58,
23-February-1999,,,,978.96,
24-February-1999,,,,983.11,
25-February-1999,,,,984.38,
26-February-1999,,,,971.02,
27-February-1999,,,,1015.70,
1-March-1999,,,,1046.23,
3-March-1999,,,,1074.31,
4-March-1999,,,,1058.23,
5-March-1999,,,,1067.91,
8-March-1999,,,,1088.67,
9-March-1999,,,,1097.57,
10-March-1999,,,,1101.22,
11-March-1999,,,,1079.09,
12-March-1999,,,,1087.07,
15-March-1999,,,,1111.60,
16-March-1999,,,,1105.12,
17-March-1999,,,,1088.46,
19-March-1999,,,,1089.96,
22-March-1999,,,,1113.22,
23-March-1999,,,,1121.28,
24-March-1999,,,,1101.82,
26-March-1999,,,,1075.53,
30-March-1999,,,,1094.02,
31-March-1999,,,,1118.44,
1-April-1999,,,,1108.15,
5-April-1999,,,,1059.36,
6-April-1999,,,,1062.51,
7-April-1999,,,,1064.77,
8-April-1999,,,,1049.53,
9-April-1999,,,,1018.20,
12-April-1999,,,,1019.26,
13-April-1999,,,,1012.86,
15-April-1999,,,,980.15,
16-April-1999,,,,1036.78,
17-April-1999,,,,972.16,
19-April-1999,,,,1005.85,
20-April-1999,,,,1006.74,
21-April-1999,,,,1016.58,
22-April-1999,,,,999.47,
23-April-1999,,,,993.31,
26-April-1999,,,,943.87,
28-April-1999,,,,950.51,
29-April-1999,,,,969.99,
3-May-1999,,,,986.78,
4-May-1999,,,,1021.05,
5-May-1999,,,,1041.19,
6-May-1999,,,,1060.39,
7-May-1999,,,,1076.42,
10-May-1999,,,,1103.74,
11-May-1999,,,,1124.82,
12-May-1999,,,,1105.61,
13-May-1999,,,,1135.91,
14-May-1999,,,,1149.94,
17-May-1999,,,,1141.74,
18-May-1999,,,,1158.28,
19-May-1999,,,,1180.01,
20-May-1999,,,,1170.00,
21-May-1999,,,,1145.43,
24-May-1999,,,,1150.24,
25-May-1999,,,,1163.01,
26-May-1999,,,,1140.63,
27-May-1999,,,,1116.47,
28-May-1999,,,,1084.35,
31-May-1999,,,,1136.32,
1-June-1999,,,,1122.38,
2-June-1999,,,,1129.79,
3-June-1999,,,,1140.47,
4-June-1999,,,,1153.90,
7-June-1999,,,,1155.38,
8-June-1999,,,,1165.84,
9-June-1999,,,,1164.41,
10-June-1999,,,,1167.33,
11-June-1999,,,,1144.35,
14-June-1999,,,,1133.81,
15-June-1999,,,,1119.66,
16-June-1999,,,,1144.80,
17-June-1999,,,,1167.12,
18-June-1999,,,,1164.60,
21-June-1999,,,,1195.08,
22-June-1999,,,,1206.42,
23-June-1999,,,,1190.85,
24-June-1999,,,,1180.31,
25-June-1999,,,,1176.54,
28-June-1999,,,,1193.45,
29-June-1999,,,,1194.82,
30-June-1999,,,,1190.42,
1-July-1999,,,,1185.61,
2-July-1999,,,,1195.29,
5-July-1999,,,,1231.11,
6-July-1999,,,,1244.08,
7-July-1999,,,,1247.08,
8-July-1999,,,,1245.43,
9-July-1999,,,,1257.72,
12-July-1999,,,,1322.53,
13-July-1999,,,,1326.62,
14-July-1999,,,,1352.01,
15-July-1999,,,,1337.43,
16-July-1999,,,,1327.90,
19-July-1999,,,,1360.00,
