"Date","Open","High","Low","Close","Shares Traded","Turnover (Rs. Cr)"
"01-Jan-2001","-","-","-","     1147.76","-","-"
"02-Jan-2001","-","-","-","     1158.70","-","-"
"03-Jan-2001","-","-","-","     1170.48","-","-"
"04-Jan-2001","-","-","-","     1161.81","-","-"
"05-Jan-2001","-","-","-","     1166.69","-","-"
"08-Jan-2001","-","-","-","     1143.47","-","-"
"09-Jan-2001","-","-","-","     1128.47","-","-"
"10-Jan-2001","-","-","-","     1133.52","-","-"
"11-Jan-2001","-","-","-","     1123.42","-","-"
"12-Jan-2001","-","-","-","     1116.53","-","-"
"15-Jan-2001","-","-","-","     1110.82","-","-"
"16-Jan-2001","-","-","-","     1110.31","-","-"
"17-Jan-2001","-","-","-","     1121.83","-","-"
"18-Jan-2001","-","-","-","     1124.31","-","-"
"19-Jan-2001","-","-","-","     1135.37","-","-"
"22-Jan-2001","-","-","-","     1143.14","-","-"
"23-Jan-2001","-","-","-","     1136.23","-","-"
"24-Jan-2001","-","-","-","     1155.04","-","-"
"25-Jan-2001","-","-","-","     1157.95","-","-"
"29-Jan-2001","-","-","-","     1128.36","-","-"
"30-Jan-2001","-","-","-","     1143.55","-","-"
"31-Jan-2001","-","-","-","     1147.17","-","-"
"01-Feb-2001","-","-","-","     1128.49","-","-"
"02-Feb-2001","-","-","-","     1138.27","-","-"
"05-Feb-2001","-","-","-","     1158.77","-","-"
"06-Feb-2001","-","-","-","     1178.47","-","-"
"07-Feb-2001","-","-","-","     1187.60","-","-"
"08-Feb-2001","-","-","-","     1207.31","-","-"
"09-Feb-2001","-","-","-","     1221.70","-","-"
"12-Feb-2001","-","-","-","     1219.60","-","-"
"13-Feb-2001","-","-","-","     1191.71","-","-"
"14-Feb-2001","-","-","-","     1206.75","-","-"
"15-Feb-2001","-","-","-","     1211.67","-","-"
"16-Feb-2001","-","-","-","     1174.32","-","-"
"19-Feb-2001","-","-","-","     1176.13","-","-"
"20-Feb-2001","-","-","-","     1176.04","-","-"
"21-Feb-2001","-","-","-","     1171.69","-","-"
"22-Feb-2001","-","-","-","     1157.72","-","-"
"23-Feb-2001","-","-","-","     1117.55","-","-"
"26-Feb-2001","-","-","-","     1118.84","-","-"
"27-Feb-2001","-","-","-","     1091.34","-","-"
"28-Feb-2001","-","-","-","     1111.02","-","-"
"01-Mar-2001","-","-","-","     1117.54","-","-"
"02-Mar-2001","-","-","-","     1065.27","-","-"
"05-Mar-2001","-","-","-","     1020.19","-","-"
"07-Mar-2001","-","-","-","     1032.97","-","-"
"08-Mar-2001","-","-","-","     1015.93","-","-"
"09-Mar-2001","-","-","-","      968.89","-","-"
"12-Mar-2001","-","-","-","      919.41","-","-"
"13-Mar-2001","-","-","-","      859.74","-","-"
"14-Mar-2001","-","-","-","      899.67","-","-"
"15-Mar-2001","-","-","-","      915.31","-","-"
"16-Mar-2001","-","-","-","      898.72","-","-"
"19-Mar-2001","-","-","-","      891.13","-","-"
"20-Mar-2001","-","-","-","      880.24","-","-"
"21-Mar-2001","-","-","-","      886.70","-","-"
"22-Mar-2001","-","-","-","      880.55","-","-"
"23-Mar-2001","-","-","-","      858.62","-","-"
"26-Mar-2001","-","-","-","      861.32","-","-"
"27-Mar-2001","-","-","-","      876.42","-","-"
"28-Mar-2001","-","-","-","      897.67","-","-"
"29-Mar-2001","-","-","-","      890.04","-","-"
"30-Mar-2001","-","-","-","      861.03","-","-"
"02-Apr-2001","-","-","-","      834.35","-","-"
"03-Apr-2001","-","-","-","      836.12","-","-"
"04-Apr-2001","-","-","-","      831.91","-","-"
"06-Apr-2001","-","-","-","      826.97","-","-"
"09-Apr-2001","-","-","-","      828.25","-","-"
"10-Apr-2001","-","-","-","      811.48","-","-"
"11-Apr-2001","-","-","-","      794.47","-","-"
"12-Apr-2001","-","-","-","      767.93","-","-"
"16-Apr-2001","-","-","-","      781.50","-","-"
"17-Apr-2001","-","-","-","      798.08","-","-"
"18-Apr-2001","-","-","-","      840.24","-","-"
"19-Apr-2001","-","-","-","      842.10","-","-"
"20-Apr-2001","-","-","-","      836.06","-","-"
"23-Apr-2001","-","-","-","      840.98","-","-"
"24-Apr-2001","-","-","-","      850.02","-","-"
"25-Apr-2001","-","-","-","      864.51","-","-"
"26-Apr-2001","-","-","-","      858.18","-","-"
"27-Apr-2001","-","-","-","      818.30","-","-"
"30-Apr-2001","-","-","-","      826.41","-","-"
"02-May-2001","-","-","-","      839.52","-","-"
