"Date","Open","High","Low","Close","Shares Traded","Turnover (Rs. Cr)"
"01-Jan-2004","-","-","-","     1000.00","-","-"
"02-Jan-2004","-","-","-","     1030.18","-","-"
"05-Jan-2004","-","-","-","     1035.52","-","-"
"06-Jan-2004","-","-","-","     1017.51","-","-"
"07-Jan-2004","-","-","-","     1013.45","-","-"
"08-Jan-2004","-","-","-","     1047.62","-","-"
"09-Jan-2004","-","-","-","     1047.11","-","-"
"12-Jan-2004","-","-","-","     1030.53","-","-"
"13-Jan-2004","-","-","-","     1032.99","-","-"
"14-Jan-2004","-","-","-","     1040.89","-","-"
"15-Jan-2004","-","-","-","     1025.47","-","-"
"16-Jan-2004","-","-","-","      998.10","-","-"
"19-Jan-2004","-","-","-","     1013.72","-","-"
"20-Jan-2004","-","-","-","      993.63","-","-"
"21-Jan-2004","-","-","-","      943.19","-","-"
"22-Jan-2004","-","-","-","      916.20","-","-"
"23-Jan-2004","-","-","-","      961.85","-","-"
"27-Jan-2004","-","-","-","      996.45","-","-"
"28-Jan-2004","-","-","-","      971.63","-","-"
"29-Jan-2004","-","-","-","      963.27","-","-"
"30-Jan-2004","-","-","-","      940.46","-","-"
"03-Feb-2004","-","-","-","      905.05","-","-"
"04-Feb-2004","-","-","-","      933.09","-","-"
"05-Feb-2004","-","-","-","      927.43","-","-"
"06-Feb-2004","-","-","-","      947.75","-","-"
"09-Feb-2004","-","-","-","      970.35","-","-"
"10-Feb-2004","-","-","-","      970.26","-","-"
"11-Feb-2004","-","-","-","      977.78","-","-"
"12-Feb-2004","-","-","-","      977.20","-","-"
"13-Feb-2004","-","-","-","      991.05","-","-"
"16-Feb-2004","-","-","-","      992.07","-","-"
"17-Feb-2004","-","-","-","      993.36","-","-"
"18-Feb-2004","-","-","-","      997.92","-","-"
"19-Feb-2004","-","-","-","      970.69","-","-"
"20-Feb-2004","-","-","-","      966.82","-","-"
"23-Feb-2004","-","-","-","      942.03","-","-"
"24-Feb-2004","-","-","-","      945.18","-","-"
"25-Feb-2004","-","-","-","      925.05","-","-"
"26-Feb-2004","-","-","-","      918.09","-","-"
"27-Feb-2004","-","-","-","      933.70","-","-"
"01-Mar-2004","-","-","-","      961.25","-","-"
"03-Mar-2004","-","-","-","      963.48","-","-"
"04-Mar-2004","-","-","-","      958.49","-","-"
"05-Mar-2004","-","-","-","      976.39","-","-"
"08-Mar-2004","-","-","-","      995.78","-","-"
"09-Mar-2004","-","-","-","      984.75","-","-"
"10-Mar-2004","-","-","-","      975.30","-","-"
"11-Mar-2004","-","-","-","      956.95","-","-"
"12-Mar-2004","-","-","-","      956.39","-","-"
"15-Mar-2004","-","-","-","      930.70","-","-"
"16-Mar-2004","-","-","-","      927.37","-","-"
"17-Mar-2004","-","-","-","      932.51","-","-"
"18-Mar-2004","-","-","-","      917.84","-","-"
"19-Mar-2004","-","-","-","      920.88","-","-"
"22-Mar-2004","-","-","-","      898.07","-","-"
"23-Mar-2004","-","-","-","      898.94","-","-"
